date,gold,br,ind,tw,kor,uk,us,jp,kor10y,kor3y,us10y,us3y,euro
2022-05-02,0.3367228,-0.145118,-0.41455254,0.368844485,-0.6351494,0.428979695,-0.6971577,-0.7283356,0.44816518,0.34279716,0.3905678,0.3764557,-1.3539
2022-05-03,0.40498805,-0.15928999,-0.42022080500000003,0.381604,-0.60778165,0.41378427,-0.6745446,-0.727725375,0.4347795,0.33486855,0.38562614,0.37277982,1.5124
2022-05-04,0.4235751,-0.14852042,-0.42588907,0.36652768,-0.477738,0.46006447,-0.6485405,-0.7271151499999999,0.4322155,0.33481872,0.38392252,0.37147164,0.727
2022-05-05,0.5539429,-0.12586771,-0.45076025,0.36187056,-0.419083615,0.51466644,-0.61502075,-0.726504925,0.430444,0.32950529500000003,0.3865714,0.37343493,-2.0818
2022-05-06,0.48539168,-0.11735594,-0.48305994,0.33857045,-0.36042923,0.5148361,-0.6029302,-0.7258947,0.4286725,0.32419187,0.38542983,0.37531403,0.8868
2022-05-09,0.45263535,-0.08240769,-0.47888702,0.3312339,-0.2595335,0.4272483,-0.5866871,-0.7414229,0.43163568,0.3315972,0.381985,0.373235,0.886
2022-05-10,0.3828479,-0.08029067,-0.5057431,0.31619278,-0.47452,0.39014524,-0.57837594,-0.70668733,0.4347844,0.33901644,0.38331193,0.37694892,-0.0872
2022-05-11,0.6674856,-0.10033249,-0.5222108,0.3334317,-0.82407635,0.34897593,-0.58162785,-0.7516551,0.43789965,0.34223288,0.38817808,0.3811678,0.7483
2022-05-12,0.6294396,-0.11836948,-0.54731554,0.3272319,-0.9273603,0.4144882,-0.5713128,-0.777418,0.44738427,0.348275,0.39266735,0.38051063,-1.2983
2022-05-13,0.54518735,-0.14524949,-0.5780258,0.3253985,-0.8900577,0.4294657,-0.5609102,-0.8756496,0.45813206,0.35425878,0.39709812,0.3826037,0.7483
2022-05-16,0.41338438,-0.15124623,-0.5457574,0.34704128,-0.6868718,0.39529997,-0.55348825,-0.85415745,0.45660952,0.3544463,0.39722025,0.3847682,-0.4205
2022-05-17,0.42886558,-0.13317937,-0.5355518,0.35115072,-0.35083833,0.29986086,-0.5521385,-0.8924372,0.4513565,0.34604824,0.3973416,0.38481894,0.0181
2022-05-18,0.6354743,-0.09947412,-0.5447066,0.35646096,0.016898714,0.34402144,-0.5398585,-0.89775527,0.45129296,0.34470022,0.39550823,0.3813197,-0.8864
2022-05-19,0.45019174,-0.116929054,-0.5510303,0.33187625,0.284262,0.40952706,-0.52421564,-0.9085715,0.44895956,0.34399778,0.3951441,0.37840733,2.4674
2022-05-20,0.2993832,-0.122788884,-0.54999924,0.3319132,0.20058885,0.46130717,-0.51952296,-0.94751513,0.44957754,0.3440032,0.39845833,0.38128972,-0.1163
2022-05-23,0.5714105,-0.13164127,-0.5069417,0.3464162,0.55759466,0.48571247,-0.5102744,-0.9686539,0.45341933,0.3474555,0.40098622,0.3848793,-1.3399
2022-05-24,0.62697285,-0.13675143,-0.504801,0.3372027,0.61269337,0.4910699,-0.50429106,-1.01279,0.45248526,0.3461799,0.3999555,0.38544858,-0.8939
2022-05-25,0.30825812,-0.13931987,-0.5066567,0.3320381,0.5580767,0.42809492,-0.5072078,-1.035476,0.4551651,0.35216367,0.39979747,0.38717806,-0.0121
2022-05-26,0.55734587,-0.13867623,-0.5001847,0.33152595,0.41690993,0.53544647,-0.5205196,-0.99987984,0.45754927,0.35364532,0.4029757,0.39147758,-0.058
