date,kospi,nasdaq,euro_stoxx,ftse,nikkei,korea_bond_03,korea_bond_10,america_bond_03,america_bond_10,gold,brazil,taiwan,india
2017-01-04,2045.64,5477.01,3317.52,7189.74,19594.16,110830.0,65390.0,84.4,104.89,1163.8,61589.0,9286.9599609375,26633.130859375
2017-01-05,2041.95,5487.94,3316.47,7195.31,19520.69,110910.0,65570.0,84.46,105.57,1180.48,62071.0,9358.1396484375,26878.240234375
2017-01-06,2049.12,5521.06,3321.17,7210.05,19454.33,110915.0,65645.0,84.39,105.09,1172.81,61665.0,9372.2197265625,26759.23046875
2017-01-09,2048.78,5531.82,3308.97,7237.77,19377.885000000002,110775.0,65150.0,84.46,105.49,1181.27,61700.0,9342.419921875,26726.55078125
2017-01-10,2045.12,5551.82,3306.21,7275.47,19301.44,110815.0,65345.0,84.43,105.44,1187.74,62132.0,9349.6396484375,26899.560546875
2017-01-11,2075.17,5563.65,3307.94,7290.49,19364.67,110840.0,65275.0,84.47,105.56,1191.85,62446.0,9345.740234375,27140.41015625
2017-01-12,2087.14,5547.49,3286.7,7292.37,19134.7,110930.0,65560.0,84.5,105.62,1195.66,63954.0,9410.1796875,27247.16015625
2017-01-13,2076.79,5574.12,3324.34,7337.81,19287.28,110945.0,65445.0,84.46,105.39,1197.66,63652.0,9378.830078125,27238.060546875
2017-01-16,2064.17,5556.424999999999,3294.53,7327.13,19095.24,110930.0,65340.0,84.49,105.655,1203.17,63831.0,9292.330078125,27288.169921875
2017-01-17,2071.87,5538.73,3285.04,7220.38,18813.53,110930.0,65440.0,84.52,105.92,1216.54,64354.0,9354.5302734375,27235.66015625
2017-01-18,2070.54,5555.65,3294.0,7247.61,18894.37,110905.0,65325.0,84.44,105.17,1203.64,64150.0,9341.9697265625,27257.640625
2017-01-19,2072.79,5540.08,3290.33,7208.44,19072.25,110815.0,65050.0,84.41,104.77,1205.14,63951.0,9318.1201171875,27308.599609375
2017-01-20,2065.61,5555.33,3299.44,7198.44,19137.91,110865.0,65270.0,84.46,104.82,1209.96,64521.0,9331.4599609375,27034.5
2017-01-23,2065.99,5552.94,3273.04,7151.18,18891.03,110930.0,65295.0,84.54,105.37,1217.48,65749.0,9424.0498046875,27117.33984375
2017-01-24,2065.76,5600.96,3281.53,7150.34,18787.99,110955.0,65475.0,84.49,104.97,1208.81,65840.0,9447.9501953125,27375.580078125
2017-01-25,2066.94,5656.34,3326.15,7164.43,19057.5,110930.0,65265.0,84.47,104.45,1200.31,66015.5,9444.1541015625,27708.140625
2017-01-26,2083.59,5655.18,3319.13,7161.49,19402.39,110800.0,64920.0,84.48,104.59,1188.57,66191.0,9440.3580078125,27682.05078125
2017-01-31,2067.57,5614.79,3230.68,7099.15,19041.34,110855.0,65135.0,84.54,105.05,1210.63,64671.0,9436.5619140625,27655.9609375
2017-02-01,2080.48,5642.65,3258.92,7107.65,19148.08,110835.0,65080.0,84.46,104.69,1209.49,64836.0,9432.7658203125,28141.640625
2017-02-02,2071.01,5636.2,3253.61,7140.75,18914.58,110870.0,65170.0,84.49,104.73,1215.93,64578.0,9428.9697265625,28226.609375
2017-02-03,2073.16,5666.77,3273.11,7188.3,18918.2,110830.0,65025.0,84.46,104.81,1219.88,64954.0,9455.5595703125,28240.51953125
2017-02-06,2077.66,5663.55,3238.31,7172.15,18976.71,110890.0,65195.0,84.55,105.31,1235.59,63993.0,9538.009765625,28439.279296875
2017-02-07,2075.21,5674.22,3235.71,7186.22,18910.78,111010.0,65315.0,84.53,105.5,1233.72,64199.0,9554.5595703125,28335.16015625
2017-02-08,2065.08,5682.45,3238.04,7188.82,19007.6,110985.0,65240.0,84.61,105.93,1241.99,64835.0,9543.25,28289.919921875
2017-02-09,2065.88,5715.18,3277.79,7229.5,18907.67,111090.0,65425.0,84.54,105.3,1230.89,64965.0,9590.1796875,28329.69921875
2017-02-10,2075.08,5734.13,3270.83,7258.75,19378.93,110935.0,65160.0,84.53,105.23,1234.12,66125.0,9665.58984375,28334.25
2017-02-13,2078.65,5763.96,3305.23,7278.92,19459.15,110960.0,65245.0,84.51,105.07,1225.44,66968.0,9710.3203125,28351.619140625
2017-02-14,2074.57,5782.57,3308.89,7268.56,19238.98,110950.0,65315.0,84.45,104.69,1228.61,66713.0,9718.7802734375,28339.310546875
2017-02-15,2083.86,5819.44,3323.71,7302.41,19437.98,110990.0,65205.0,84.42,104.49,1232.94,67976.0,9799.759765625,28155.560546875
2017-02-16,2081.84,5814.9,3311.04,7277.92,19347.53,110985.0,65245.0,84.46,104.91,1239.14,67814.0,9771.25,28301.26953125
2017-02-17,2080.58,5838.58,3308.81,7299.96,19234.62,111025.0,65305.0,84.52,105.19,1235.29,67748.0,9759.759765625,28468.75
2017-02-20,2084.39,5852.264999999999,3312.39,7299.86,19251.08,110990.0,65100.0,84.525,105.16499999999999,1238.38,68533.0,9753.2001953125,28661.580078125
2017-02-21,2102.93,5865.95,3339.33,7274.83,19381.44,110950.0,65005.0,84.53,105.14,1235.97,69052.0,9763.9296875,28761.58984375
2017-02-22,2106.61,5860.63,3339.27,7302.25,19379.87,110890.0,64800.0,84.55,105.31,1237.69,68590.0,9778.7802734375,28864.7109375
2017-02-23,2107.63,5835.51,3333.96,7271.37,19371.46,110930.0,65005.0,84.59,105.59,1249.41,67461.0,9769.3095703125,28892.970703125
2017-02-24,2094.12,5845.31,3304.09,7243.7,19283.54,111025.0,65230.0,84.63,106.08,1256.94,66662.0,9750.4697265625,28852.92578125
2017-02-27,2085.52,5861.9,3309.3,7253.0,19107.47,111060.0,65135.0,84.56,105.7,1252.76,66393.0,9730.9130859375,28812.880859375
2017-02-28,2091.64,5825.44,3319.61,7263.44,19118.99,111045.0,65280.0,84.52,105.65,1248.59,66124.0,9711.3564453125,28743.3203125
2017-03-02,2102.65,5861.22,3384.71,7382.35,19564.8,110935.0,64915.0,84.31,104.47,1235.3,65855.0,9691.7998046875,28839.7890625
2017-03-03,2078.75,5870.75,3403.39,7374.26,19469.17,110895.0,64875.0,84.33,104.57,1234.3,66786.0,9648.2099609375,28832.44921875
2017-03-06,2081.36,5849.18,3387.46,7350.12,19379.14,110850.0,64685.0,84.35,104.55,1225.96,66341.0,9682.6298828125,29048.189453125
2017-03-07,2094.05,5833.93,3385.12,7338.99,19344.15,110795.0,64460.0,84.32,104.4,1215.67,65742.0,9738.0703125,28999.560546875
2017-03-08,2095.41,5837.55,3389.62,7334.61,19254.03,110465.0,64510.0,84.25,104.05,1207.58,64718.0,9753.4501953125,28901.939453125
2017-03-09,2091.06,5838.81,3409.89,7314.96,19318.58,110485.0,64490.0,84.24,103.76,1200.83,64585.0,9658.6103515625,28929.130859375
2017-03-10,2097.35,5861.73,3416.27,7343.08,19604.61,110485.0,64490.0,84.29,103.98,1204.55,64675.0,9627.8896484375,28946.23046875
